75259 ILLINOIS
46490 NORTH DAKOTA
88906 Harper County, NE
88389 Sherman County, AR
11985 Antrim County, NJ
84653 Thomas County, MS
60337 Washington County, ME
09253 East Baton Rouge Parish, CT
69775 Hopkins County, MO
40868 Camden County, CO
41066 Manatee County, FL
30078 Valencia County, RI
44385 Clay County, PA
74212 New Haven County, DC
00671 ALASKA
07277 Tipton County, GA
56639 Hill County, UT
48140 Macon County, OH
10186 Lake County, MS
16795 Ottawa County, OR
24143 Hamilton County, RI
12150 Hartley County, OH
52323 Davis County, TN
86003 Ward County, MN
86894 Greene County, VA
65930 McCulloch County, CO
13986 Placer County, FL
68325 Knox County, TN
29382 Beaver County, WI
50592 Trempealeau County, IA
74963 Clatsop County, SD
57072 Wilkes County, NM
84177 Clarke County, AZ
24096 Horry County, MN
09988 Deaf Smith County, NC
54380 Hancock County, UT
47688 San Luis Obispo County, CA
12704 Dickinson County, TN
55794 Jo Daviess County, WA
57861 Conejos County, VA
19728 Polk County, MS
70392 OHIO
10417 Berrien County, AZ
16430 Coffee County, MT
20778 Aroostook County, VT
22578 Kleberg County, WI
48733 Tuscarawas County, KS
71461 Colleton County, IN
30567 Harding County, NV
06716 Chickasaw County, MD
38066 Monroe County, NH
39580 Yukon–Koyukuk Census Area, NM
44191 Lawrence County, AL
88398 TEXAS
50018 Bulloch County, WY
19289 Pottawatomie County, DE
58497 Steuben County, NC
44490 Grant County, ID
09328 Faulkner County, ME
98835 Arapahoe County, MI
65496 Meade County, SC
55434 Starke County, CT
34270 Cherokee County, MN
82822 Iberia Parish, NH
32283 Oregon County, VT
23956 Grant County, UT
03847 Camas County, CO
11695 Lafourche Parish, LA
11250 Clay County, ND
17440 Fentress County, CT
62397 Buffalo County, AL
09319 Ness County, MD
94508 Lewis County, VT
73231 Sheridan County, RI
83310 Marshall County, NE
90380 Phillips County, CO
44057 Sonoma County, AL
17543 Stevens County, AR
13675 Bienville Parish, HI
14245 Walworth County, MN
42340 Columbia County, MS
14242 McCracken County, WY
63818 Prowers County, VA
23871 DISTRICT OF COLUMBIA
41087 White County, PA
45974 Bristol County, GA
25404 Hidalgo County, MT
31665 Polk County, DE
14884 Hall County, MI
04754 Prince of Wales – Hyder Census Area, MA
91648 Todd County, GA
16284 Guadalupe County, NE
82152 St. Lucie County, DC
25063 Clare County, AK
69398 Northumberland County, AR
10445 Madison County, GA
97141 Niagara County, MO
03532 Clinch County, OR
64055 Taos County, AR
96102 Swisher County, TN
96456 Rabun County, HI
79443 Hancock County, VT
59585 Valley County, AK
10258 Barry County, VT
68339 Carter County, NC
21995 Currituck County, WY
70185 Kinney County, NH
52712 Lumpkin County, VA
13821 Hampshire County, WI
83460 Dunklin County, SD
43222 Nacogdoches County, NY
39741 Rains County, OR
62875 Crawford County, CA
91371 Tioga County, WY
62704 Stone County, MT
59725 Holt County, OR
22709 Lincoln County, IL
25869 Jackson County, ID
46630 Mineral County, DC
26888 Tuscarawas County, CO
26714 Sarasota County, IN
67217 Harford County, AK
95820 Pulaski County, PA
08603 Wabasha County, WA
92802 Georgetown County, CA
70612 Pulaski County, CA
39371 Jones County, PA
61409 Monroe County, AL
19947 Boone County, TN
83306 Arapahoe County, WA
42905 Pasquotank County, FL
90457 Orange County, WA
75311 Montmorency County, KS
76860 Swisher County, UT
35326 Comal County, IN
09176 TEXAS
27132 Lake County, VT
84107 Bingham County, AR
23910 Chouteau County, AR
09185 Marion County, CA
26034 Wood County, MD
47836 Humboldt County, IA
98193 Owen County, MI
69062 Fulton County, OK
08104 Hyde County, GA
61974 Santa Clara County, WV
56503 Linn County, CO
51312 Van Buren County, MO
95077 Rush County, DE
13726 Saline County, OH
57611 Haywood County, MT
74584 Moody County, KS
54138 Franklin County, NE
86365 Jeff Davis County, NM
72780 Rusk County, SD
85783 Stanton County, LA
07264 McDowell County, KS
07101 Davis County, IA
45280 Liberty County, IN
56462 CONNECTICUT
96755 Somerset County, OH
95302 Phelps County, MD
11569 Brown County, MS
13483 Chambers County, OK
99282 Catawba County, FL
75553 Pitkin County, NJ
27986 Loup County, NC
74716 Aurora County, ME
57121 McDowell County, MT
26499 York County, GA
66925 St. John the Baptist Parish, UT
83741 Vinton County, OR
81016 Eastland County, IL
15574 Medina County, OK
84036 Jackson County, SC
53618 Archer County, NV
19140 Kewaunee County, WI
68981 Sheridan County, MO
11078 Wolfe County, TX
30237 Ward County, KS
09068 Hidalgo County, AR
59272 Carter County, NH
44107 Traill County, AK
03328 Cheboygan County, VA
30233 Nemaha County, CA
00007 Hampshire County, TX
27884 Lassen County, WA
94449 Beaufort County, ND
89521 Harper County, MI
41568 Sanilac County, WA
86618 Martin County, AR
30254 Garfield County, RI
83665 Loudon County, NH
17845 Attala County, MA
46209 Kenai Peninsula Borough, CT
37654 Jefferson County, NV
68061 San Saba County, AL
97129 Scotts Bluff County, PA
99690 Franklin County, WI
04838 Atlantic County, VT
09077 Franklin County, NH
35131 Collier County, NC
40993 Bennett County, ME
45641 Stafford County, HI
87666 Perkins County, HI
45928 Arkansas County, MI
78028 Aiken County, FL
82827 Anderson County, KY
23528 Benton County, NJ
88496 Wright County, OR
74303 Champaign County, MD
67669 Jones County, ME
24103 Caroline County, NM
98550 Greene County, WA
29044 Polk County, AL
79075 Fayette County, OH
57061 Carroll County, NY
48886 Le Flore County, NJ
79949 Beadle County, AL
46750 Ouachita Parish, KS
80177 Dallas County, CA
96745 Halifax County, ND
95188 LaGrange County, PA
30394 Seminole County, OK
85678 Perry County, AZ
63626 Madison County, WI
89599 Fairfield County, WV
87952 Worcester County, AZ
97125 Paulding County, KS
85182 York County, RI
41326 Kiowa County, WY
45298 Piatt County, ME
61479 Perry County, ME
30615 Washington County, NC
52107 Knox County, AK
28383 Camden County, IA
34779 Hinsdale County, ME
87573 LOUISIANA
60393 Jefferson County, RI
20763 Yellowstone County, MA
33289 Kingman County, NJ
93356 Presque Isle County, ME
46121 Spalding County, HI
18526 Wayne County, WY
41128 Lumpkin County, WY
37167 Staunton, City of, ND
03003 Effingham County, VT
53422 Sevier County, ME
29121 Rappahannock County, MT
18890 Newton County, WA
95264 Summit County, KS
23538 Madison County, VT
49692 Prentiss County, HI
14963 Lawrence County, OR
08506 Douglas County, CT
02193 ILLINOIS
84861 Robertson County, WA
13616 Franklin County, NH
43933 Plymouth County, WY
36408 Glynn County, MD
84359 Evans County, NV
77390 Rockingham County, LA
45366 Cavalier County, ID
84985 Jefferson Parish, ME
77794 Dixon County, WI
45732 Kingfisher County, WA
67981 Franklin County, ME
50153 Hancock County, ID
23683 Union County, NM
82491 Bath County, SC
77187 Jo Daviess County, WV
47482 Valdez–Cordova Census Area, MS
61912 Franklin County, MA
99502 Bandera County, CA
84618 Atlantic County, OH
97484 Mohave County, NM
61765 Jefferson Davis Parish, NH
92940 Carter County, IN
51543 Jefferson County, NJ
62163 Douglas County, NJ
94999 Lincoln County, TN
10749 Scott County, GA
94791 Riley County, CA
43191 Slope County, MS
25825 Texas County, OK
23813 Randolph County, SC
65868 Lewis County, LA
48851 Chariton County, MA
23529 Sheboygan County, NM
40820 Wayne County, MS
76394 Knott County, CA
01629 Pamlico County, NM
28183 McDowell County, MO
72068 Vinton County, TX
51974 Chowan County, ID
80675 Park County, NE
39871 Wetzel County, MD
22791 MICHIGAN
19437 Chautauqua County, HI
00517 Beauregard Parish, DC
60428 Ringgold County, NC
48014 Keya Paha County, CA
42983 Harris County, WY
46886 Washington County, MT
04956 Seward County, OH
41291 Stokes County, TX
73292 Gem County, NE
66081 St. Joseph County, GA
24432 Johnson County, PA
98395 Skamania County, KS
18730 Tippah County, SD
16463 Milwaukee County, ND
41434 Gunnison County, ID
83039 Jones County, IN
29060 Washington County, NY
71243 Beltrami County, TN
40222 Lawrence County, OH
57616 Washington County, IA
45498 Williams County, WY
02301 Douglas County, MD
63077 Jackson County, PA
86167 Haskell County, MN
69078 Kings County, WY
73305 Roger Mills County, FL
29900 Ellis County, KS
64395 Winnebago County, UT
48131 Prowers County, AZ
28152 WYOMING
41727 Plumas County, MS
87387 Meigs County, NJ
51065 Rice County, PA
87364 Avery County, MI
74762 Navajo County, LA
89300 Lincoln County, ND
90376 Richland County, MA
77301 Wayne County, MI
07968 Putnam County, NV
15976 Kittitas County, WY
52683 Leslie County, VA
86705 Muskingum County, VA
72132 Queens County, MI
05431 Butte County, KS
20362 Amelia County, DC
64013 Stafford County, NM
10949 St. James Parish, VA
90305 Pettis County, AL
49498 Floyd County, AK
68427 McMullen County, ND
24944 Racine County, NC
46385 Pulaski County, ND
80301 Moffat County, KY
60805 ALABAMA
24454 Wheeler County, NJ
56113 Prowers County, WA
39063 Leon County, IL
52544 Grenada County, TX
15948 Lampasas County, MO
39071 La Salle County, ID
01221 Campbell County, OR
77221 NEW JERSEY
64533 Sumter County, UT
24522 INDIANA
35661 Pierce County, OH
53280 Lawrence County, SC
25115 Winnebago County, NE
62422 Cumberland County, MA
24833 Foster County, MN
01134 Freeborn County, DC
28071 Taylor County, NV
54056 Bon Homme County, TN
52899 Park County, TN
96580 Bond County, IL
99071 Valencia County, PA
16540 New London County, SC
18108 Daviess County, NE
34477 Grand County, RI
45323 Yolo County, TN
43468 Lee County, VT
78052 Ector County, OK
79341 Bedford County, OR
88347 Callahan County, UT
81155 Perkins County, AK
12343 Loudoun County, NE
69233 Elko County, SD
73905 Minnehaha County, VA
27814 Spotsylvania County, DC
91260 Jefferson County, FL
19988 Ness County, VA
72000 Dooly County, WV
45351 Decatur County, AL
68523 Cochise County, IL
31044 Clay County, NC
87842 Mason County, NC
79220 Wayne County, ND
10833 Chelan County, AZ
47687 CALIFORNIA
77339 Reagan County, OK
60359 Wharton County, NE
91531 KENTUCKY
50868 RHODE ISLAND
95848 Oceana County, FL
68804 NEW HAMPSHIRE
91180 Magoffin County, RI
46922 Taylor County, NH
09757 Lorain County, AK
68377 Richland County, SD
61697 Quay County, NM
46321 Richmond County, CT
85337 Twin Falls County, MN
23466 Bosque County, TX
90099 Echols County, OH
01531 Crawford County, HI
35188 Lincoln County, NV
75795 Terrebonne Parish, LA
00577 Alachua County, MA
00567 Madison County, CT
87549 Pershing County, TX
64951 St. Landry Parish, AL
10391 Hendry County, FL
82248 Bethel Census Area, RI
72209 Van Buren County, MN
35247 Catawba County, IA
42375 Maries County, OK
70568 Monroe County, AK
69667 Sanborn County, NC
88759 Cuming County, MA
25357 NEVADA
80056 Ulster County, OH
33487 Ellsworth County, AK
39295 Lenoir County, DE
43417 Calloway County, AK
49251 Spink County, NJ
80982 Madison County, AR
48475 Pawnee County, AK
35202 Woods County, SD
52071 Orleans County, WA
25265 St. Louis County, AK
15780 Westmoreland County, NM
10378 Deschutes County, NV
63315 Curry County, MN
92671 Boone County, OR
54907 Perkins County, TX
87984 Chemung County, IA
92409 Transylvania County, MT
66966 Kingman County, MA
57707 Marion County, HI
89849 WASHINGTON
88600 Pickett County, IN
34819 Webster County, LA
76541 Providence County, MS
31416 Barnwell County, OK
53079 Dawson County, WA
87664 Union County, UT
14357 OKLAHOMA
47470 Bronx County, SC
29886 Los Alamos County, TN
41686 Alpine County, MI
89324 Coffee County, NH
06576 Stark County, NM
15101 Belknap County, CO
53186 Butler County, KY
45985 Harrison County, GA
84477 Lyon County, DE
88973 Medina County, AZ
57292 Clay County, MS
71359 Dodge County, CT
43328 Hendricks County, NE
39980 Adams County, MO
75784 St. Tammany Parish, SD
90569 Santa Cruz County, CA
93769 Teton County, MS
93906 Douglas County, SD
13428 Dallas County, VT
61491 Madison County, TN
49893 Douglas County, WI
68203 Nobles County, SD
39651 Pike County, SC
04716 Bollinger County, WY
18282 Kanabec County, MT
53312 Sherman County, PA
60779 Baca County, MD
24455 Decatur County, KY
94427 Carteret County, VA
90755 Cayuga County, UT
67033 Cheatham County, NH
85934 Vernon County, WI
05122 Kittitas County, WA
31936 Columbia County, UT
73013 Marshall County, AL
46659 Allendale County, CO
40814 Hamilton County, ND
74636 Cochise County, WY
93959 West Baton Rouge Parish, LA
67062 Juab County, OK
74676 ILLINOIS
16572 Sacramento County, IA
61221 McLeod County, WY
92633 Stephens County, FL
97241 Boone County, TN
16270 Bonneville County, MO
55010 Buchanan County, ME
73831 SOUTH DAKOTA
26165 Jefferson County, VT
96311 Erie County, CA
28757 Hamlin County, TX
04602 Kenosha County, MD
78194 Pierce County, RI
82838 Lancaster County, SD
15232 Ringgold County, WI
94396 Hill County, CT
36987 Harper County, GA
68149 Brown County, OK
30110 Middlesex County, OH
79435 Garrard County, NM
87029 Edwards County, WI
68110 Cochran County, TX
87570 Knox County, VA
73121 Fond du Lac County, ID
11928 Ford County, IN
07425 Bienville Parish, GA
54957 Nolan County, WY
24581 Hancock County, TX
81553 Campbell County, ND
46703 Anoka County, NV
29381 Lincoln County, CT
37413 LaRue County, FL
47199 Otoe County, NE
53738 Kay County, MN
83786 Henry County, OH
78281 Christian County, TN
85062 Butte County, ID
52847 Marion County, LA
30856 Grand County, FL
05898 Mariposa County, NV
69424 RHODE ISLAND
04495 Bristol County, MN
59198 MARYLAND
64897 Eaton County, NY
11738 Cass County, NH
79580 Garfield County, WY
94101 Cherry County, OH
97212 Wayne County, KY
97412 Dillingham Census Area, VA
10416 Alfalfa County, DE
93943 St. Clair County, MT
19215 ALABAMA
56169 East Feliciana Parish, CO
58141 Brule County, WY
28547 Nacogdoches County, ID
47086 Hanson County, AZ
46690 Ralls County, AR
04025 Cherokee County, UT
70160 Green County, UT
17753 Monroe County, MS
77794 Armstrong County, IL
30877 Marin County, TN
56641 Lafayette County, VT
55245 Hamilton County, CT
99092 Greene County, SD
01719 Gove County, UT
22924 Jasper County, IN
14973 Greer County, IL
38699 Lowndes County, MO
99289 Madison County, NE
14618 Macon County, UT
53079 McDowell County, LA
98987 Ouachita County, TN
47189 Dawson County, CT
28108 Atchison County, WI
01454 Codington County, MI
51129 Lewis County, SD
10817 Roberts County, AZ
26025 Lee County, LA
34047 Salt Lake County, CO
37694 Harper County, OR
56634 Rappahannock County, OK
56816 Livingston Parish, MD
58708 Emanuel County, TN
00801 Butte County, AL
07144 St. Francois County, IL
99808 Warren County, MS
79016 Grundy County, AK
92346 Ohio County, NJ
55805 McCulloch County, HI
81201 Kewaunee County, OR
91438 Hampden County, ME
05034 Sweetwater County, NM
38550 Grayson County, LA
16651 Dundy County, HI
47423 Galax, City of, MT
06316 Washington County, IL
62088 Amite County, DE
15771 Lafayette Parish, GA
60844 Cape Girardeau County, WA
71211 Union County, LA
46737 Davie County, AL
62653 Clark County, MA
94593 Forsyth County, NV
87913 Wayne County, OR
67485 Montour County, PA
71200 Obion County, WY
32011 Adams County, HI
30855 NEW YORK
84589 Doña Ana County, VA
39440 Pickaway County, KY
62954 Caddo Parish, NY
79531 Emmet County, AR
42348 Franklin County, SC
16698 Barbour County, MI
33942 Kalawao County, IN
60531 NEBRASKA
94155 Lincoln Parish, NV
57893 Harlan County, VT
50630 Conecuh County, IA
46934 Grainger County, MA
19867 Custer County, ID
00030 Chambers County, MT
21080 Audrain County, MS
43970 Niobrara County, NH
60767 Hunterdon County, IN
54238 Anchorage, Municipality of, NH
23622 Russell County, KY
67253 Dodge County, AR
42184 Lyon County, UT
62477 St. Louis, City of, ME
22279 Charleston County, WY
44983 Jefferson County, TN
55428 Butler County, PA
79095 MASSACHUSETTS
58351 Clinton County, NH
72761 Jackson County, WY
45690 Pearl River County, WI
20772 Prince of Wales – Hyder Census Area, IL
72710 Ripley County, UT
94055 Franklin County, MT
06221 Sublette County, MA
45531 Herkimer County, WY
93553 Terrell County, FL
27505 Franklin County, WV
10800 Adams County, MA
25412 Dewey County, UT
73815 Mille Lacs County, TX
33661 Moniteau County, MT
93799 Smith County, TN
91655 Erie County, NV
24739 Armstrong County, WY
25274 Bland County, FL
27500 Inyo County, CO
68918 Tangipahoa Parish, WI
76345 Guadalupe County, CT
03470 Lane County, KS
28656 Rio Grande County, WA
72910 Tolland County, NE
28983 Stephenson County, AR
58027 McNairy County, TX
78815 Claiborne Parish, NY
97164 Bradley County, DC
04054 Elk County, KS
66249 TENNESSEE
59956 Lawrence County, ME
30265 Polk County, LA
65604 Dawson County, OK
04046 Newton County, LA
51899 Cleveland County, ND
66516 Logan County, CO
03067 Henry County, AK
94420 Garfield County, CO
32821 Franklin, City of, TN
91740 Noble County, ID
26034 Franklin County, AZ
26874 Snyder County, MN
00933 Wayne County, DC
44411 Kemper County, SC
04873 Bayfield County, WI
73789 Rockingham County, AR
42226 Horry County, NC
50943 Warren County, AL
57980 Rockingham County, GA
16314 Miami County, DC
15327 Doniphan County, MO
04600 Cumberland County, FL
05575 Lake County, WY
34938 Berks County, CT
64198 Clay County, AZ
59465 NEW JERSEY
81620 Laclede County, ID
03519 Scott County, NY
98372 Eau Claire County, KS
20802 CONNECTICUT
92170 Park County, PA
79137 Morgan County, VA
05614 NEVADA
98843 Dorchester County, AR
78964 Sonoma County, OK
22300 Allegany County, AL
90847 Lincoln County, SD
00941 Accomack County, GA
59243 Marshall County, MD
20773 Iron County, TX
63200 Palo Pinto County, WA
84337 Spencer County, CA
21043 Jasper County, CA
06050 Monroe County, MI
56845 Ascension Parish, WV
07374 Borden County, OH
89759 Potter County, LA
25985 Forsyth County, WV
39373 Porter County, AL
88543 Washington County, MT
38940 Scott County, IL
27817 Little River County, CT
82886 MISSISSIPPI
96905 Chippewa County, VT
84790 Yakutat, City and Borough of, MA
59829 La Crosse County, FL
65392 Adams County, IN
28742 Franklin County, RI
53579 McIntosh County, DC
14719 Grundy County, OK
05755 Crow Wing County, WI
48272 Sandoval County, AK
36417 Chatham County, MI
93594 Clarke County, IL
94736 Butte County, VA
45755 Humboldt County, TX
55908 Smith County, IA
69372 Broward County, MO
40774 Calumet County, ME
90147 Pamlico County, NV
89769 Columbia County, IN
59033 Benton County, ND
54933 Jefferson County, WV
42595 Nevada County, SC
15673 Sumter County, CT
52910 Gratiot County, IN
73041 Fayette County, SD
27472 Jones County, WV
60772 St. James Parish, UT
48741 Lawrence County, NJ
58929 Jackson County, WI
79487 Acadia Parish, DE
00264 WYOMING
46458 Kit Carson County, MN
54038 Swift County, VT
40006 Washington County, ID
68865 Whitley County, NV
96266 Pierce County, MD
99020 Kent County, VA
31861 Wilkinson County, TX
11887 Leake County, MA
18298 Broadwater County, NE
88477 Roosevelt County, MT
94891 Clarke County, NJ
40986 Essex County, TN
90966 Paulding County, CO
02941 Sac County, OR
64927 Martin County, AZ
88719 Butte County, KS
08171 St. Francois County, OK
36176 Logan County, VT
30189 Collingsworth County, MO
18989 Cumberland County, DE
63908 Putnam County, MI
78255 Marion County, PA
63048 Metcalfe County, TN
29431 San Mateo County, WA
45305 Scott County, IL
09418 DeSoto County, ID
53152 Manassas, City of, ME
86404 Grant County, WA
92088 Osage County, NE
67852 Comanche County, SC
96071 Murray County, OH
43574 Decatur County, PA
20458 Millard County, RI
71115 Martin County, ND
70683 Chaffee County, AK
71086 Boone County, TX
56629 Otsego County, GA
09632 Sherman County, ID
87876 Allen Parish, MO
97458 Madison County, VT
07879 Josephine County, NH
47222 Millard County, NJ
28952 Escambia County, MS
61625 Alameda County, SC
03702 Harrison County, ME
25757 Norton County, NE
35238 La Paz County, NC
87072 Alleghany County, KS
72639 Monroe County, MI
25515 Queen Anne's County, DC
24622 Montgomery County, IN
19958 Jones County, MS
99529 Hardy County, DE
76747 Calcasieu Parish, DC
63852 Green Lake County, ID
62949 Webster County, LA
35850 Cheshire County, SC
45600 Aleutians West Census Area, WY
62760 Johnson County, MA
42020 White County, MT
90170 Clay County, MD
28362 Hendricks County, NH
69130 Washington County, AL
08417 Hot Springs County, NY
99892 Gallatin County, WV
32691 Ector County, NY
61853 Christian County, WV
08676 Gordon County, CO
32495 Worth County, WI
62382 Caddo Parish, NC
27320 Williamsburg, City of, ME
87714 Cass County, WV
18220 Pickens County, MO
57421 Orange County, WY
12148 Morgan County, MA
13317 Harris County, ID
19450 Ralls County, AZ
54893 Grundy County, KY
22377 Allen Parish, MT
16078 Cibola County, MA
60162 Kandiyohi County, SC
76819 Perry County, TN
79936 El Dorado County, AR
11355 Armstrong County, MO
69579 Willacy County, RI
60750 Roberts County, WY
24365 Delaware County, NM
68272 Massac County, ME
05293 Chester County, MN
14717 Smith County, DC
16204 Jefferson County, LA
38382 Woodford County, IA
25875 Santa Cruz County, AK
14000 Ohio County, NE
24415 Grand Isle County, WA
92561 Putnam County, MO
78931 Winn Parish, SD
49872 Tuscarawas County, ID
12100 Somerset County, TX
57738 Gulf County, WI
56005 Warren County, ME
41230 Lancaster County, ID
84532 Knox County, VA
20656 Little River County, MN
41040 Lac qui Parle County, IN
75878 Wayne County, RI
89851 Ottawa County, OK
36427 Calhoun County, KS
17250 Waynesboro, City of, OR
44261 Yalobusha County, LA
08770 Divide County, AK
70496 Hancock County, MI
25920 Dallas County, AZ
59668 Midland County, MT
55966 Wabaunsee County, WI
89094 Koochiching County, OR
73585 Erie County, CT
03849 Hardin County, NY
90893 Oconee County, IL
56632 Northwest Arctic Borough, DE
82160 San Juan County, AL
86792 Butler County, MT
96487 Chippewa County, DC
75188 Glynn County, TX
43754 Woods County, FL
72528 Baltimore City, WA
86430 Raleigh County, CT
73864 Williamsburg, City of, LA
59259 Chesterfield County, WY
84210 Marshall County, MO
48568 Hudspeth County, PA
28001 Upshur County, KS
25957 Foster County, NY
75424 Wake County, ND
92173 Treutlen County, AZ
30198 Amador County, TN
28114 Hanson County, NJ
58276 Douglas County, FL
89552 Ozark County, ME
83703 Southeast Fairbanks Census Area, IA
47566 Kent County, IA
36897 Ellis County, TX
39395 Highlands County, LA
94863 Dodge County, VA
89152 Austin County, IA
83151 Iredell County, AK
57078 Tippecanoe County, NM
92718 Lamar County, OK
72736 Robertson County, MS
77951 Dickinson County, NY
31161 Boone County, NY
74856 Grant County, CA
74779 O'Brien County, WI
43241 Clearwater County, HI
01771 St. Martin Parish, UT
22335 Pennington County, ND
22092 Rock County, MI
37492 Franklin County, NY
39314 Howard County, WV
15529 Pickett County, MS
94985 Monroe County, DE
14796 Bristol, City of, MD
34428 Cassia County, AZ
49587 Nye County, NJ
47601 Cascade County, ND
82344 Erie County, WV
25265 Bath County, IN
23345 Iron County, CA
97536 Adams County, MN
93677 Choctaw County, MS
88294 Ritchie County, UT
74688 Lee County, AR
68407 Teton County, OH
17012 Phelps County, WA
36254 Henderson County, WA
85913 Catoosa County, FL
73217 Mercer County, NE
